,price
price,1.0
category_Perfume,0.36694719325798886
brand_dyson,0.18183555338536803
brand_TOM FORD,0.1757209669885644
brand_Dr. Barbara Sturm,0.16686952004989627
brand_La Mer,0.15949624498753967
category_Cologne,0.1448863341840044
brand_Kilian,0.13391789714914684
brand_SK-II,0.1290196522822066
brand_ghd,0.12423130701823816
category_Curling,0.12284133188689422
brand_Acqua Di Parma,0.12273852449254605
online_only,0.11724993070990036
brand_NuFACE,0.11393550145768351
category_Anti-Aging,0.10964372916784153
brand_T3,0.10502029314189089
brand_Tata Harper,0.10067771355049848
brand_Atelier Cologne,0.08702837064074277
category_Moisturizers,0.0857260108806023
brand_HERMÈS,0.08512325908732667
brand_Jo Malone London,0.08461323602475608
brand_ReFa,0.08303212992293801
brand_Bio Ionic,0.07677661249463151
brand_Perricone MD,0.0735265241082094
brand_Guerlain,0.0701772106993786
brand_Sulwhasoo,0.06863362912382252
brand_CHANEL,0.06703490860565238
brand_FOREO,0.06485623482645894
brand_Viktor&Rolf,0.06419672060665577
category_Facial,0.06329398930896128
brand_AMOREPACIFIC,0.06329197489638962
brand_PMD,0.06140232362451389
brand_Omorovicza,0.060661527771313624
brand_Givenchy,0.05772835928787513
brand_LANCER Skincare,0.05771595427726464
brand_AERIN,0.05618442529608532
brand_rag & bone,0.054226266825265663
category_Value,0.05195061822843865
brand_LightStim ,0.04977982695009371
brand_RODIN olio lusso ,0.04922802631070169
brand_Dior,0.047053577794489085
brand_Dr. Dennis Gross Skincare,0.04309147003495081
brand_Gucci,0.04187798596051133
brand_Juliette Has a Gun,0.03873577525618887
brand_Chloé,0.03834850940916644
brand_DOLCE&GABBANA,0.036247813770101105
brand_Skin Inc Supplement Bar,0.03599879637386255
brand_BVLGARI,0.0339903693997693
brand_Artis,0.03359587441167095
brand_Maison Margiela,0.03340695699979093
category_Night,0.03334780979404727
brand_Beachwaver,0.032983158545867364
size_ml,0.032345037667012536
brand_Eight & Bob,0.032199605886072694
brand_Jillian Dempsey,0.03209732866858505
brand_Erno Laszlo,0.03163508377073722
brand_Prada,0.0314643302826146
brand_Yves Saint Laurent,0.031409061490791215
brand_Shiseido,0.031105801133510635
brand_BeautyBio,0.029441891302732004
brand_BURBERRY,0.028095979638235197
brand_Carolina Herrera,0.02790532370708789
brand_Eve Lom,0.02783989916585167
brand_Marc Jacobs Fragrances,0.027546649762033432
brand_John Varvatos,0.025732103045449272
brand_Estée Lauder,0.025669503610358593
brand_Kate Somerville,0.024922795622773036
brand_Algenist,0.024843824428417118
brand_goop,0.024437500191297295
brand_Ralph Lauren,0.0235439584856676
brand_StackedSkincare,0.022962675981857257
brand_DERMAFLASH,0.022609169923197576
brand_Paco Rabanne,0.022126901462600535
brand_Armani Beauty,0.021786761761958533
brand_Juicy Couture,0.02026327758712434
rating,0.019559349834178917
brand_BALENCIAGA,0.019398918634311337
brand_Charlotte Tilbury,0.018736915971232067
brand_Nurse Jamie,0.018680515643766892
category_Decollete,0.018526259475747802
brand_PHLUR,0.01848622644979854
brand_Dr. Brandt Skincare,0.017613198142550728
brand_Google,0.017481135693426984
category_High,0.017481135693426984
brand_Obagi Clinical,0.01742728443691826
brand_DEREK LAM 10 CROSBY,0.0173042494385115
category_Face,0.017302968733378162
brand_SUNDAY RILEY,0.017177510755491666
brand_Versace,0.016972209698741053
brand_Valentino,0.01634341842745248
brand_WelleCo,0.01588212378317519
category_Lotions,0.015667006641464722
brand_Christian Louboutin,0.015623533854720774
brand_Miu Miu,0.0155840219504368
brand_Michael Kors,0.015580277529111375
limited_edition,0.015333470131124767
brand_SOBEL SKIN Rx,0.01468584117193695
brand_JIMMY CHOO,0.014681076193887392
brand_BERDOUES,0.014044067679854444
brand_Tory Burch,0.013408250013479799
brand_Lord Jones,0.013359809653302733
category_Mists,0.01318666351748872
brand_ELLIS BROOKLYN,0.013021797463261622
brand_Tatcha,0.01230419384017914
brand_GLO Science,0.012054047928097066
brand_Viseart,0.011583367987011546
brand_Alpha-H,0.011442772382117583
category_Cleansing,0.010837411613809718
brand_Slip,0.010828157463169822
brand_Donna Karan,0.010534512799250788
brand_Peter Thomas Roth,0.00994491500290915
brand_CLEAN RESERVE,0.009509982371638767
brand_Saint Jane Beauty,0.009054687095667388
brand_Montblanc,0.009009117011479714
brand_Etat Libre d'Orange,0.008844294389924536
brand_Sakara Life,0.008798942136657386
brand_KENZOKI,0.00843360634864596
brand_Koh Gen Do,0.008419712402906997
brand_Narciso Rodriguez,0.008155472615185457
brand_Overose,0.008011382852472352
brand_Murad,0.007874822659114397
brand_Natasha Denona,0.007578078372055704
brand_surratt beauty,0.00755801528363771
brand_Clarins,0.007353299175938992
brand_MAELYS Cosmetics,0.006284557538735772
brand_Flora + Bast,0.005965347288757032
brand_Kenzo,0.005730823250249438
brand_Mugler,0.005321685313675777
brand_Calvin Klein,0.004758308750512679
brand_alpyn beauty,0.004327336271260753
brand_Shani Darden Skin Care,0.003944796232335687
brand_amika,0.0035820252788781345
brand_Prima,0.003130887535687513
brand_Crushed Tonic,0.0031122461351290633
brand_The 7 Virtues,0.0022538132086656216
brand_LASHFOOD,0.002247067748266385
brand_PINROSE,0.0020613461675549555
category_Eye,0.001960269405489319
brand_COVER FX,0.0018547796465314171
brand_kate spade new york,0.0017659557638822383
brand_bkr,0.0017576553716661236
brand_Drybar,0.0016431898238406957
brand_SKYLAR,0.0015479858009173019
brand_Floral Street,0.0011085792691287247
category_Diffusers,0.001102876060515866
brand_Maison Louis Marie,0.0010574454434129396
brand_High Beauty,0.0008718254943838146
brand_PAT McGRATH LABS,0.0005444769445731879
brand_Reverie,0.00035200924360603944
brand_The Beauty Chef,0.0003272254487654765
brand_shu uemura,0.00026984636431721774
category_Cellulite,-5.052660220682926e-05
brand_Conture,-0.00023546185221906774
brand_Dermalogica,-0.0004017203693572948
brand_Lunar Beauty,-0.00045691932153963993
brand_Moschino,-0.0007069079410444876
brand_DL.MD,-0.0011212917295013894
brand_Indie Lee,-0.0011653539623712342
brand_Comptoir Sud Pacifique,-0.0012928567153828144
brand_Aether Beauty,-0.0014812617453186766
brand_SHHHOWERCAP,-0.0015642066681424906
brand_TokyoMilk,-0.0017856641374630776
brand_Antonym,-0.0018144736622577877
brand_KORRES,-0.0021062230390442352
category_Teeth,-0.0023496138861150095
brand_Wishful,-0.002450036545424809
category_Wellness,-0.0024500365454248104
brand_Caudalie,-0.002489299250136806
brand_Edible Beauty,-0.002607247957386811
brand_Bésame Cosmetics,-0.0026820508116953516
brand_TAN-LUXE,-0.0029910538902731968
brand_Biossance,-0.0030637309674236613
brand_Elizabeth and James,-0.0032188217971779666
brand_LXMI,-0.003348943416317822
category_Tinted,-0.003716725283628494
brand_Fresh,-0.0037366632093497718
brand_Lancôme,-0.004020672073659627
category_Powder,-0.004443153769309999
brand_MDSolarSciences,-0.004443153769310005
category_Curls,-0.0044431537693100384
brand_Clarisonic Skincare,-0.004459338960612909
brand_Volition Beauty,-0.004660138494315497
brand_Summer Fridays,-0.0048097005727290865
category_Holistic,-0.004875432224384153
brand_Too Cool For School,-0.004886068707951131
category_Accessories,-0.004886068707951138
brand_Proactiv,-0.004981744478865118
brand_KORA Organics,-0.00540096078780067
brand_Moon Juice,-0.005507847049223717
category_Exfoliators,-0.005620608823760859
brand_The Art of Shaving,-0.005776658804004424
brand_Sephora Favorites,-0.006209472928609979
category_Fragrance,-0.006308614516008006
brand_Youth To The People,-0.006508398931378983
brand_Rossano Ferretti Parma,-0.006551624493591013
category_Lid,-0.0066577284625157565
brand_LAVANILA,-0.006673627883447865
brand_Cellu-cup,-0.006879185931836316
brand_Aquis,-0.00716367080813675
